name,iso,continent,lat,lon,area,lang
Afghanistan,AFG,Asia,34.51667,69.2,652225,Persian
Albania,ALB,Europe,41.33333,19.81667,28748,Albanian
Algeria,DZA,Africa,36.83333,3.0,2381741,Arabic
Andorra,AND,Europe,42.5,1.5,453,Catalan
Angola,AGO,Africa,-8.833333,13.25,1246700,Portuguese
Anguilla,AIA,America,18.21667,-63.06667,102,English
Antigua and Barbuda,ATG,America,17.13333,-61.83333,442,English
Argentina,ARG,America,-34.66667,-58.5,2766889,Spanish
Armenia,ARM,Asia,40.18333,44.5,29800,Armenian
Aruba,ABW,America,12.55,-70.1,193,Dutch
Australia,AUS,Pacific,-33.88334,151.1667,7686848,English
Australia,AUS,Pacific,-35.3,149.133,7686848,English
Austria,AUT,Europe,48.21667,16.36667,83858,German
Azerbaijan,AZE,Asia,40.36666,49.88334,86600,Azeri
Bahamas,BHS,America,25.08333,-77.33334,13939,English
Bahrain,BHR,Asia,26.2,50.63334,678,Arabic
Bangladesh,BGD,Asia,23.7,90.36667,143998,Bengali
Barbados,BRB,America,13.1,-59.61666,431,English
Belarus,BLR,Europe,53.85,27.5,207595,Belarussian
Belgium and Luxembourg,BEL,Europe,50.83333,4.35,33114,Dutch
Belize,BLZ,America,17.21667,-88.8,22963,English
Benin,BEN,Africa,6.4,2.517,112622,French
Benin,BEN,Africa,6.5,2.783333,112622,French
Bermuda,BMU,America,32.3,-64.8,53,English
Bhutan,BTN,Asia,27.53333,89.75,46620,Burmese
Bolivia,BOL,America,-16.5,-68.16666,1098581,Spanish
Bolivia,BOL,America,-19.083,-65.25,1098581,Spanish
Bosnia and Herzegovina,BIH,Europe,43.86666,18.43333,51233,Serbo-Croatian
Botswana,BWA,Africa,-24.75,25.91667,600372,English
Brazil,BRA,America,-23.53,-46.63,8511920,Portuguese
Brazil,BRA,America,-15.78,-47.91,8511920,Portuguese
British Virgin Islands,VGB,America,18.45,-64.61667,153,English
Brunei Darussalam,BRN,Asia,4.933333,114.9667,5765,Malay
Bulgaria,BGR,Europe,42.66667,23.3,110994,Bulgarian
Burkina Faso,BFA,Africa,12.33333,-1.666667,274200,French
Burma,MMR,Asia,16.78333,96.16666,678500,Burmese
Burundi,BDI,Africa,-3.366667,29.31667,27834,French
Cambodia,KHM,Asia,11.58333,104.9167,181035,Khmer
Cameroon,CMR,Africa,3.85,11.51667,475442,French
Canada,CAN,America,43.65,-79.38,9976139,English
Canada,CAN,America,45.42,-75.71,9976139,English
Cape Verde,CPV,Africa,14.91667,-23.5,4033,Portuguese
Cayman Islands,CYM,America,19.3,-81.38333,262,English
Central African Republic,CAF,Africa,4.383333,18.61667,622984,French
Chad,TCD,Africa,12.16667,14.98333,1284005,French
Chile,CHL,America,-33.5,-70.66666,756945,Spanish
China,CHN,Asia,39.91667,116.4333,9572378,Chinese
Christmas Island,CXR,Pacific,-10.41667,105.7167,135,English
Cocos (Keeling) Islands,CCK,Pacific,-12.5,96.83334,14,Malay
Colombia,COL,America,4.633333,-75.06667,1141748,Spanish
Comoros,COM,Africa,-11.66667,43.26667,1862,Arabic
Congo,COG,Africa,-4.233333,15.23333,342000,French
Congo (Democratic Republic of the),ZAR,Africa,-4.3,15.3,2345410,French
Cook Islands,COK,Pacific,-21.2,-159.7667,240,English
Costa Rica,CRI,America,9.983334,-84.06667,51076,Spanish
Croatia,HRV,Europe,45.8,15.96667,56538,Serbo-Croatian
Cuba,CUB,America,23.11667,-82.41666,110861,Spanish
Cyprus,CYP,Europe,35.15,33.35,9251,Greek
Czech Republic,CZE,Europe,50.1,14.43333,78864,Czech
Côte d'Ivoire,CIV,Africa,6.82,-5.28,322463,French
Côte d'Ivoire,CIV,Africa,5.316667,-4.016667,322463,French
Denmark,DNK,Europe,55.66667,12.58333,43094,Danish
Djibouti,DJI,Africa,11.6,43.15,23200,French
Dominica,DMA,America,15.3,-61.38334,751,English
Dominican Republic,DOM,America,18.5,-69.78333,48734,Spanish
East Timor,TMP,Asia,-8.57,125.58,14874,Tetum
Ecuador,ECU,America,-0.2333333,-78.5,275716,Spanish
Egypt,EGY,Africa,30.05,31.25,1001449,Arabic
El Salvador,SLV,America,13.66667,-89.16666,21041,Spanish
Equatorial Guinea,GNQ,Africa,3.75,8.8,28051,Spanish
Eritrea,ERI,Africa,15.33333,38.88334,121320,English
Estonia,EST,Europe,59.41667,24.75,45227,Estonian
Ethiopia,ETH,Africa,9.05,38.83333,1127127,Amharic
Falkland Islands,FLK,America,-51.7,-57.85,12173,English
