language,parameter_id,parameter_name,value_number,value_name
Abipón,49A,Number of Cases,1,No morphological case-marking
Abkhaz,49A,Number of Cases,2,2 cases
Acoma,49A,Number of Cases,1,No morphological case-marking
Ainu,49A,Number of Cases,9,Exclusively borderline case-marking
Alamblak,49A,Number of Cases,7,8-9 cases
Albanian,49A,Number of Cases,4,4 cases
Aleut,49A,Number of Cases,2,2 cases
Amele,49A,Number of Cases,1,No morphological case-marking
Amharic,49A,Number of Cases,2,2 cases
Amuesha,49A,Number of Cases,9,Exclusively borderline case-marking
Apurinã,49A,Number of Cases,9,Exclusively borderline case-marking
Arabela,49A,Number of Cases,7,8-9 cases
Arabic (Egyptian),49A,Number of Cases,1,No morphological case-marking
Araona,49A,Number of Cases,5,5 cases
Armenian (Eastern),49A,Number of Cases,5,5 cases
Asmat,49A,Number of Cases,1,No morphological case-marking
Awa Pit,49A,Number of Cases,8,10 or more cases
Aymara (Central),49A,Number of Cases,6,6-7 cases
Bagirmi,49A,Number of Cases,1,No morphological case-marking
Bambara,49A,Number of Cases,1,No morphological case-marking
Barasano,49A,Number of Cases,2,2 cases
Basque,49A,Number of Cases,8,10 or more cases
Bawm,49A,Number of Cases,4,4 cases
Beja,49A,Number of Cases,2,2 cases
Bengali (Chittagong),49A,Number of Cases,6,6-7 cases
Brahui,49A,Number of Cases,8,10 or more cases
Bribri,49A,Number of Cases,9,Exclusively borderline case-marking
Arapesh (Mountain),49A,Number of Cases,1,No morphological case-marking
Bulgarian,49A,Number of Cases,1,No morphological case-marking
Burmese,49A,Number of Cases,7,8-9 cases
Burushaski,49A,Number of Cases,7,8-9 cases
Cahuilla,49A,Number of Cases,5,5 cases
Khmer,49A,Number of Cases,1,No morphological case-marking
Canela,49A,Number of Cases,1,No morphological case-marking
Carib,49A,Number of Cases,1,No morphological case-marking
Catalan,49A,Number of Cases,1,No morphological case-marking
Cayuvava,49A,Number of Cases,9,Exclusively borderline case-marking
Chamorro,49A,Number of Cases,1,No morphological case-marking
Chinantec (Lealao),49A,Number of Cases,1,No morphological case-marking
Mandarin,49A,Number of Cases,1,No morphological case-marking
Chukchi,49A,Number of Cases,8,10 or more cases
Chumash (Barbareño),49A,Number of Cases,1,No morphological case-marking
Chuvash,49A,Number of Cases,6,6-7 cases
Comanche,49A,Number of Cases,3,3 cases
Cree (Plains),49A,Number of Cases,9,Exclusively borderline case-marking
Daga,49A,Number of Cases,9,Exclusively borderline case-marking
Dani (Lower Grand Valley),49A,Number of Cases,6,6-7 cases
Diola-Fogny,49A,Number of Cases,1,No morphological case-marking
Dong (Southern),49A,Number of Cases,1,No morphological case-marking
Drehu,49A,Number of Cases,1,No morphological case-marking
Dutch,49A,Number of Cases,1,No morphological case-marking
Dyirbal,49A,Number of Cases,6,6-7 cases
Ekari,49A,Number of Cases,9,Exclusively borderline case-marking
English,49A,Number of Cases,2,2 cases
Epena Pedee,49A,Number of Cases,8,10 or more cases
Estonian,49A,Number of Cases,8,10 or more cases
Evenki,49A,Number of Cases,8,10 or more cases
Ewe,49A,Number of Cases,1,No morphological case-marking
Fijian,49A,Number of Cases,1,No morphological case-marking
Finnish,49A,Number of Cases,8,10 or more cases
French,49A,Number of Cases,1,No morphological case-marking
Frisian (Western),49A,Number of Cases,1,No morphological case-marking
Fur,49A,Number of Cases,4,4 cases
Garo,49A,Number of Cases,7,8-9 cases
Georgian,49A,Number of Cases,6,6-7 cases
