time,iso,f1,f2,f3,f4,f5
1,AFG,1.0,2.0,2.0,1.0,3.0
1,ALB,2.0,2.0,0.0,0.0,0.0
1,DZA,0.0,0.0,0.0,0.0,0.0
1,AND,2.0,2.0,1.0,0.0,3.0
1,AGO,2.0,2.0,2.0,3.0,3.0
1,AIA,2.0,2.0,2.0,3.0,3.0
1,ATG,2.0,2.0,2.0,3.0,3.0
1,ARG,2.0,2.0,1.0,2.0,3.0
1,ARM,1.0,1.0,6.0,1.0,3.0
1,ABW,7.0,2.0,1.0,0.0,0.0
1,AUS,2.0,2.0,2.0,3.0,3.0
1,AUS,2.0,2.0,2.0,3.0,3.0
1,AUT,7.0,2.0,4.0,3.0,3.0
1,AZE,0.0,0.0,0.0,0.0,0.0
1,BHS,2.0,2.0,2.0,3.0,3.0
1,BHR,0.0,0.0,0.0,0.0,0.0
1,BGD,1.0,0.0,0.0,0.0,4.0
1,BRB,2.0,2.0,2.0,3.0,3.0
1,BLR,0.0,0.0,0.0,0.0,0.0
1,BEL,7.0,2.0,4.0,3.0,3.0
1,BLZ,2.0,2.0,2.0,3.0,3.0
1,BEN,2.0,2.0,1.0,2.0,3.0
1,BEN,2.0,2.0,1.0,2.0,3.0
1,BMU,2.0,2.0,2.0,3.0,3.0
1,BTN,1.0,1.0,7.0,1.0,4.0
1,BOL,2.0,2.0,0.0,0.0,0.0
1,BOL,2.0,2.0,1.0,2.0,3.0
1,BIH,7.0,1.0,8.0,1.0,4.0
1,BWA,2.0,2.0,2.0,3.0,3.0
1,BRA,2.0,2.0,1.0,2.0,3.0
1,BRA,2.0,2.0,0.0,0.0,0.0
1,VGB,2.0,2.0,2.0,3.0,3.0
1,BRN,0.0,0.0,0.0,0.0,0.0
1,BGR,2.0,2.0,1.0,0.0,3.0
1,BFA,2.0,2.0,1.0,2.0,3.0
1,MMR,1.0,1.0,7.0,1.0,4.0
1,BDI,2.0,2.0,1.0,2.0,3.0
1,KHM,2.0,2.0,1.0,1.0,3.0
1,CMR,2.0,2.0,1.0,2.0,3.0
1,CAN,2.0,2.0,2.0,3.0,3.0
1,CAN,2.0,2.0,1.0,2.0,3.0
1,CPV,2.0,2.0,0.0,0.0,0.0
1,CYM,2.0,2.0,2.0,3.0,3.0
1,CAF,2.0,2.0,1.0,2.0,3.0
1,TCD,2.0,2.0,1.0,2.0,3.0
1,CHL,2.0,2.0,1.0,2.0,3.0
1,CHN,1.0,1.0,7.0,1.0,4.0
1,CXR,2.0,2.0,2.0,3.0,3.0
1,CCK,0.0,0.0,0.0,0.0,0.0
1,COL,2.0,2.0,1.0,2.0,3.0
1,COM,0.0,0.0,0.0,0.0,0.0
1,COG,2.0,2.0,1.0,2.0,3.0
1,ZAR,2.0,2.0,1.0,2.0,3.0
1,COK,2.0,2.0,2.0,3.0,3.0
1,CRI,2.0,2.0,1.0,2.0,3.0
1,HRV,7.0,1.0,8.0,1.0,4.0
1,CUB,2.0,2.0,1.0,2.0,3.0
1,CYP,0.0,0.0,0.0,0.0,0.0
1,CZE,7.0,2.0,4.0,3.0,3.0
1,CIV,2.0,2.0,1.0,2.0,3.0
1,CIV,2.0,2.0,1.0,2.0,3.0
1,DNK,7.0,2.0,4.0,3.0,3.0
1,DJI,2.0,2.0,1.0,2.0,3.0
1,DMA,2.0,2.0,2.0,3.0,3.0
1,DOM,2.0,2.0,1.0,2.0,3.0
1,TMP,0.0,0.0,0.0,0.0,0.0
1,ECU,2.0,2.0,1.0,2.0,3.0
1,EGY,0.0,0.0,0.0,0.0,0.0
1,SLV,2.0,2.0,1.0,2.0,3.0
1,GNQ,2.0,2.0,1.0,2.0,3.0
1,ERI,1.0,4.0,2.0,2.0,4.0
1,EST,2.0,2.0,5.0,2.0,4.0
1,ETH,1.0,4.0,2.0,2.0,4.0
1,FLK,2.0,2.0,2.0,3.0,3.0
1,FRO,0.0,0.0,0.0,0.0,0.0
